dateRep,day,month,year,cases,deaths
4/6/2020,4,6,2020,552,48
3/6/2020,3,6,2020,420,44
2/6/2020,2,6,2020,896,36
1/6/2020,1,6,2020,527,24
31/05/2020,31,5,2020,0,0
30/05/2020,30,5,2020,100,21
29/05/2020,29,5,2020,368,38
28/05/2020,28,5,2020,748,72
27/05/2020,27,5,2020,0,0
26/05/2020,26,5,2020,599,95
25/05/2020,25,5,2020,498,12
24/05/2020,24,5,2020,430,40
23/05/2020,23,5,2020,522,117
22/05/2020,22,5,2020,452,51
21/05/2020,21,5,2020,703,49
20/05/2020,20,5,2020,569,40
19/05/2020,19,5,2020,400,63
18/05/2020,18,5,2020,419,48
17/05/2020,17,5,2020,1296,94
16/05/2020,16,5,2020,965,256
15/05/2020,15,5,2020,16,4
14/05/2020,14,5,2020,67,7
13/05/2020,13,5,2020,910,182
12/5/2020,12,5,2020,-50,18
11/5/2020,11,5,2020,488,410
10/5/2020,10,5,2020,253,13
9/5/2020,9,5,2020,-1480,50
8/5/2020,8,5,2020,878,36
7/5/2020,7,5,2020,-2461,49
6/5/2020,6,5,2020,0,0
5/5/2020,5,5,2020,2343,5
4/5/2020,4,5,2020,2074,193
3/5/2020,3,5,2020,1128,308
2/5/2020,2,5,2020,1402,163
1/5/2020,1,5,2020,259,17
30/04/2020,30,4,2020,417,12
29/04/2020,29,4,2020,1018,208
28/04/2020,28,4,2020,521,87
27/04/2020,27,4,2020,11536,0
26/04/2020,26,4,2020,0,0
25/04/2020,25,4,2020,0,16
24/04/2020,24,4,2020,333,23
23/04/2020,23,4,2020,452,17
22/04/2020,22,4,2020,270,13
21/04/2020,21,4,2020,660,33
20/04/2020,20,4,2020,446,18
19/04/2020,19,4,2020,572,35
18/04/2020,18,4,2020,225,18
17/04/2020,17,4,2020,367,15
16/04/2020,16,4,2020,255,33
15/04/2020,15,4,2020,74,0
14/04/2020,14,4,2020,63,22
13/04/2020,13,4,2020,209,18
12/4/2020,12,4,2020,96,18
11/4/2020,11,4,2020,2196,25
10/4/2020,10,4,2020,515,30
9/4/2020,9,4,2020,455,22
8/4/2020,8,4,2020,248,29
7/4/2020,7,4,2020,101,11
6/4/2020,6,4,2020,181,8
5/4/2020,5,4,2020,97,27
4/4/2020,4,4,2020,205,25
3/4/2020,3,4,2020,405,0
2/4/2020,2,4,2020,456,41
1/4/2020,1,4,2020,336,17
31/03/2020,31,3,2020,76,4
30/03/2020,30,3,2020,55,10
29/03/2020,29,3,2020,208,7
28/03/2020,28,3,2020,224,7
27/03/2020,27,3,2020,192,5
26/03/2020,26,3,2020,129,2
25/03/2020,25,3,2020,101,9
24/03/2020,24,3,2020,192,4
23/03/2020,23,3,2020,257,7
22/03/2020,22,3,2020,106,0
21/03/2020,21,3,2020,227,4
20/03/2020,20,3,2020,31,0
19/03/2020,19,3,2020,57,1
18/03/2020,18,3,2020,53,0
17/03/2020,17,3,2020,21,0
16/03/2020,16,3,2020,9,0
15/03/2020,15,3,2020,5,1
14/03/2020,14,3,2020,6,1
11/3/2020,11,3,2020,2,0
10/3/2020,10,3,2020,1,0
9/3/2020,9,3,2020,1,0
6/3/2020,6,3,2020,3,0
5/3/2020,5,3,2020,3,0
3/3/2020,3,3,2020,1,0
2/3/2020,2,3,2020,5,0
1/3/2020,1,3,2020,1,0
29/02/2020,29,2,2020,0,0
28/02/2020,28,2,2020,0,0
27/02/2020,27,2,2020,0,0
26/02/2020,26,2,2020,0,0
25/02/2020,25,2,2020,0,0
24/02/2020,24,2,2020,0,0
23/02/2020,23,2,2020,0,0
22/02/2020,22,2,2020,0,0
21/02/2020,21,2,2020,0,0
20/02/2020,20,2,2020,0,0
19/02/2020,19,2,2020,0,0
18/02/2020,18,2,2020,0,0
17/02/2020,17,2,2020,0,0
16/02/2020,16,2,2020,0,0
15/02/2020,15,2,2020,0,0
14/02/2020,14,2,2020,0,0
13/02/2020,13,2,2020,0,0
12/2/2020,12,2,2020,0,0
11/2/2020,11,2,2020,0,0
10/2/2020,10,2,2020,0,0
9/2/2020,9,2,2020,0,0
8/2/2020,8,2,2020,0,0
7/2/2020,7,2,2020,0,0
6/2/2020,6,2,2020,0,0
5/2/2020,5,2,2020,0,0
4/2/2020,4,2,2020,0,0
3/2/2020,3,2,2020,0,0
2/2/2020,2,2,2020,0,0
1/2/2020,1,2,2020,0,0
31/01/2020,31,1,2020,0,0
30/01/2020,30,1,2020,0,0
29/01/2020,29,1,2020,0,0
28/01/2020,28,1,2020,0,0
27/01/2020,27,1,2020,0,0
26/01/2020,26,1,2020,0,0
25/01/2020,25,1,2020,0,0
24/01/2020,24,1,2020,0,0
23/01/2020,23,1,2020,0,0
22/01/2020,22,1,2020,0,0
21/01/2020,21,1,2020,0,0
20/01/2020,20,1,2020,0,0
19/01/2020,19,1,2020,0,0
18/01/2020,18,1,2020,0,0
17/01/2020,17,1,2020,0,0
16/01/2020,16,1,2020,0,0
15/01/2020,15,1,2020,0,0
14/01/2020,14,1,2020,0,0
13/01/2020,13,1,2020,0,0
12/1/2020,12,1,2020,0,0
11/1/2020,11,1,2020,0,0
10/1/2020,10,1,2020,0,0
9/1/2020,9,1,2020,0,0
8/1/2020,8,1,2020,0,0
7/1/2020,7,1,2020,0,0
6/1/2020,6,1,2020,0,0
5/1/2020,5,1,2020,0,0
4/1/2020,4,1,2020,0,0
3/1/2020,3,1,2020,0,0
2/1/2020,2,1,2020,0,0
1/1/2020,1,1,2020,0,0
31/12/2019,31,12,2019,0,0
